60001, Wesola, 62, flat, between 2011-2020, 194, SilverStone Constructions, 8, 1, 34
84941, Kwiatowa, 35, house, between 1981-2000, 134, BlueSky Developers, 2, 1, 215
84942, Kwiatowa, 40, flat, between 1900-1950, 167, BlueSky Developers, 2, 1, 111
84943, Mickiewicza, 99, apartment, between 1951-1980, 41, SilverStone Constructions, 8, 6, 161
84944, Piekna, 99, flat, between 2001-2010, 155, BlueSky Developers, 7, 2, 247
84945, Mickiewicza, 34, twin, between 1900-1950, 152, GoldenGate Builders, 2, 2, 74
84946, Wspolna, 76, twin, between 1981-2000, 177, GreenField Group, 3, 2, 213
84947, Cicha, 86, house, between 2001-2010, 162, GreenField Group, 9, 1, 171
84948, Mickiewicza, 98, twin, between 1951-1980, 131, BlueSky Developers, 1, 1, 84
84949, Piastowska, 81, house, between 1981-2000, 91, BlueSky Developers, 4, 2, 160
84950, Ogrodowa, 42, twin, between 2011-2020, 145, BlueSky Developers, 1, 1, 97
84951, Wiosenna, 76, twin, between 1951-1980, 57, GoldenGate Builders, 1, 1, 109
84952, Kwiatowa, 78, apartment, between 2021-2024, 74, GreenField Group, 7, 3, 192
84953, Krotka, 49, twin, between 1981-2000, 196, BlueSky Developers, 1, 1, 298
84954, Polna, 52, house, between 2021-2024, 130, SilverStone Constructions, 8, 8, 286
84955, Kwiatowa, 61, house, between 2011-2020, 133, BlueSky Developers, 5, 3, 123
84956, Piekna, 43, apartment, between 1900-1950, 115, GreenField Group, 8, 7, 19
84957, Sportowa, 37, twin, between 2011-2020, 72, BlueSky Developers, 3, 1, 272
84958, Piekna, 65, flat, between 2001-2010, 185, SilverStone Constructions, 2, 2, 137
84959, Sportowa, 78, house, between 2021-2024, 164, GoldenGate Builders, 4, 4, 18
84960, Sosnowa, 87, twin, between 2001-2010, 134, GoldenGate Builders, 1, 1, 71
84961, Kwiatowa, 63, twin, between 1951-1980, 85, SilverStone Constructions, 1, 1, 31
84962, Sosnowa, 64, flat, between 2011-2020, 23, SilverStone Constructions, 6, 6, 83
84963, Chopina, 35, apartment, between 2021-2024, 112, SilverStone Constructions, 8, 2, 231
84964, Ogrodowa, 62, house, between 1900-1950, 174, GoldenGate Builders, 5, 5, 260
84965, Spacerowa, 83, flat, between 2011-2020, 102, GoldenGate Builders, 6, 5, 103
84966, Piekna, 73, apartment, between 2001-2010, 148, GoldenGate Builders, 7, 4, 282
84967, Sloneczna, 50, flat, between 2021-2024, 106, SilverStone Constructions, 7, 2, 9
84968, Rzeczna, 63, house, between 2021-2024, 38, GreenField Group, 5, 1, 121
84969, Wspolna, 49, house, between 1951-1980, 114, GreenField Group, 5, 3, 112
84970, Lesna, 50, twin, between 2001-2010, 31, BlueSky Developers, 1, 1, 115
84971, Kwiatowa, 95, flat, between 2001-2010, 41, GreenField Group, 4, 3, 147
84972, Plac Wolnosci, 63, flat, between 2011-2020, 193, GoldenGate Builders, 6, 6, 132
84973, Kwiatowa, 95, flat, between 2001-2010, 197, BlueSky Developers, 9, 8, 270
84974, Sportowa, 77, apartment, between 2021-2024, 173, GoldenGate Builders, 6, 5, 137
84975, Sosnowa, 83, apartment, between 1951-1980, 167, GreenField Group, 5, 4, 128
84976, Ogrodowa, 78, apartment, between 2021-2024, 195, GoldenGate Builders, 8, 5, 154
84977, Mickiewicza, 46, house, between 1981-2000, 68, SilverStone Constructions, 7, 6, 250
84978, Wesola, 67, flat, between 1981-2000, 182, SilverStone Constructions, 4, 1, 145
84979, Krucza, 56, twin, between 1951-1980, 63, GreenField Group, 1, 1, 149
84980, Mickiewicza, 90, house, between 1900-1950, 90, SilverStone Constructions, 6, 4, 260
84981, Chopina, 99, twin, between 1900-1950, 71, GoldenGate Builders, 3, 3, 163
84982, Kwiatowa, 68, apartment, between 1951-1980, 13, GoldenGate Builders, 3, 1, 97
84983, Chopina, 82, house, between 2021-2024, 160, GoldenGate Builders, 5, 4, 28
84984, Cicha, 73, house, between 1951-1980, 46, SilverStone Constructions, 8, 2, 192
84985, Kolobrzeska, 84, twin, between 2011-2020, 168, GreenField Group, 3, 1, 270
84986, Kwiatowa, 54, apartment, between 1981-2000, 140, SilverStone Constructions, 1, 1, 16
84987, Kwiatowa, 23, house, between 1900-1950, 60, GoldenGate Builders, 6, 2, 60
84988, Mickiewicza, 75, flat, between 1900-1950, 179, SilverStone Constructions, 2, 1, 159
84989, Kwiatowa, 44, flat, between 2001-2010, 157, GreenField Group, 9, 1, 213
84990, Kwiatowa, 34, twin, between 2001-2010, 178, GreenField Group, 2, 2, 232
84991, Wiosenna, 32, flat, between 1900-1950, 116, BlueSky Developers, 3, 3, 30
84992, Zielona, 76, apartment, between 1900-1950, 80, SilverStone Constructions, 8, 8, 53
84993, Spacerowa, 22, flat, between 1981-2000, 41, GoldenGate Builders, 3, 2, 167
84994, Piekna, 86, twin, between 1951-1980, 168, GoldenGate Builders, 1, 1, 291
84995, Piekna, 75, twin, between 2001-2010, 159, GreenField Group, 3, 2, 142
84996, Krotka, 46, flat, between 2001-2010, 138, SilverStone Constructions, 2, 2, 241
84997, Piekna, 96, apartment, between 1981-2000, 176, GreenField Group, 7, 6, 147
84998, Mickiewicza, 29, apartment, between 2011-2020, 75, SilverStone Constructions, 2, 1, 200
84999, Wspolna, 31, apartment, between 1951-1980, 195, GoldenGate Builders, 1, 1, 36
85000, Polna, 52, house, between 2021-2024, 15, GreenField Group, 1, 1, 27
85001, 3 Maja, 86, flat, between 2001-2010, 153, BlueSky Developers, 8, 8, 295
85002, Sloneczna, 84, twin, between 1981-2000, 129, GreenField Group, 1, 1, 61
85003, Brzozowa, 50, twin, between 1900-1950, 47, GreenField Group, 3, 2, 229
85004, Sloneczna, 88, twin, between 1900-1950, 80, SilverStone Constructions, 3, 2, 4
85005, Slowackiego, 81, apartment, between 1900-1950, 125, GreenField Group, 1, 1, 83
85006, Mickiewicza, 79, flat, between 2021-2024, 39, GreenField Group, 3, 1, 295
85007, Mickiewicza, 37, house, between 1981-2000, 198, BlueSky Developers, 6, 2, 37
85008, Ogrodowa, 20, apartment, between 2001-2010, 16, SilverStone Constructions, 7, 2, 267
85009, Slowackiego, 62, twin, between 2011-2020, 185, BlueSky Developers, 1, 1, 198
85010, Kwiatowa, 63, apartment, between 1981-2000, 138, GreenField Group, 10, 10, 83
85011, Topolowa, 72, house, between 1900-1950, 158, GreenField Group, 6, 4, 20
85012, Krucza, 38, twin, between 2001-2010, 29, GoldenGate Builders, 1, 1, 203
85013, Jagiellonska, 27, flat, between 2011-2020, 33, GoldenGate Builders, 4, 3, 6
85014, Wspolna, 50, twin, between 2001-2010, 43, GreenField Group, 1, 1, 46
85015, Sloneczna, 93, twin, between 1900-1950, 155, SilverStone Constructions, 1, 1, 59
85016, Ogrodowa, 35, apartment, between 1900-1950, 190, BlueSky Developers, 8, 3, 21
85017, Krotka, 57, apartment, between 2021-2024, 197, GreenField Group, 9, 9, 246
85018, Konopna, 43, apartment, between 2001-2010, 51, BlueSky Developers, 8, 2, 278
85019, Kwiatowa, 34, twin, between 1981-2000, 112, SilverStone Constructions, 3, 1, 242
85020, Mickiewicza, 58, apartment, between 1981-2000, 97, GreenField Group, 10, 7, 258
85021, Zielona, 95, house, between 1900-1950, 50, GoldenGate Builders, 1, 1, 300
85022, Krotka, 84, flat, between 2001-2010, 14, GreenField Group, 8, 6, 280
85023, Plac Wolnosci, 26, house, between 2011-2020, 7, GreenField Group, 10, 8, 268
85024, Chopina, 98, flat, between 1900-1950, 131, GreenField Group, 9, 6, 4
85025, Sloneczna, 87, house, between 1951-1980, 72, BlueSky Developers, 5, 5, 244
85026, Slowackiego, 59, twin, between 2021-2024, 3, GoldenGate Builders, 3, 3, 100
85027, Lesna, 82, flat, between 2011-2020, 198, BlueSky Developers, 1, 1, 292
85028, Piekna, 33, twin, between 2011-2020, 115, BlueSky Developers, 1, 1, 295
85029, Piastowska, 56, apartment, between 1900-1950, 189, SilverStone Constructions, 3, 2, 284
85030, Piastowska, 25, apartment, between 2011-2020, 172, SilverStone Constructions, 3, 2, 127
85031, Mickiewicza, 92, house, between 1951-1980, 63, GoldenGate Builders, 5, 4, 163
85032, Cicha, 33, house, between 1981-2000, 133, GoldenGate Builders, 9, 8, 203
85033, Brzozowa, 41, apartment, between 2001-2010, 148, GoldenGate Builders, 3, 1, 133
85034, Kwiatowa, 24, twin, between 1900-1950, 124, SilverStone Constructions, 3, 1, 75
85035, Polna, 95, twin, between 2021-2024, 45, BlueSky Developers, 3, 2, 204
85036, Kwiatowa, 57, flat, between 2021-2024, 49, BlueSky Developers, 9, 8, 122
85037, Aleja Lipowa, 70, flat, between 1981-2000, 103, SilverStone Constructions, 2, 2, 257
85038, Krotka, 84, apartment, between 1981-2000, 85, SilverStone Constructions, 4, 2, 150
85039, Krotka, 81, apartment, between 1981-2000, 162, SilverStone Constructions, 8, 1, 74
85040, Polna, 46, flat, between 2011-2020, 111, GoldenGate Builders, 4, 4, 62
85041, Jagiellonska, 20, twin, between 2011-2020, 75, GreenField Group, 3, 2, 147
85042, Reymonta, 22, twin, between 1900-1950, 31, BlueSky Developers, 2, 1, 156
85043, Piekna, 20, twin, between 1900-1950, 124, GoldenGate Builders, 2, 1, 208
85044, Mickiewicza, 56, twin, between 2001-2010, 13, BlueSky Developers, 2, 2, 121
85045, Plac Wolnosci, 57, flat, between 2011-2020, 182, SilverStone Constructions, 7, 4, 30
85046, Krucza, 69, apartment, between 1900-1950, 86, GreenField Group, 8, 6, 69
85047, Mickiewicza, 23, flat, between 1951-1980, 174, SilverStone Constructions, 4, 1, 160
85048, Lesna, 76, house, between 2021-2024, 131, BlueSky Developers, 7, 3, 135
85049, Parkowa, 27, apartment, between 1981-2000, 187, BlueSky Developers, 3, 1, 218
85050, Kwiatowa, 67, apartment, between 2001-2010, 183, SilverStone Constructions, 1, 1, 18
85051, Piekna, 74, apartment, between 2021-2024, 115, GoldenGate Builders, 6, 5, 66
85052, Kwiatowa, 58, flat, between 2011-2020, 5, GoldenGate Builders, 8, 3, 151
85053, Wiosenna, 29, flat, between 2011-2020, 124, BlueSky Developers, 2, 1, 255
85054, Mickiewicza, 64, house, between 2001-2010, 126, GreenField Group, 1, 1, 124
85055, Mickiewicza, 75, twin, between 1900-1950, 175, GoldenGate Builders, 3, 1, 212
85056, Aleja Lipowa, 90, apartment, between 1951-1980, 70, GreenField Group, 4, 4, 169
85057, Piastowska, 26, house, between 2001-2010, 37, SilverStone Constructions, 2, 2, 297
85058, Spacerowa, 49, apartment, between 2011-2020, 195, SilverStone Constructions, 3, 3, 185
85059, Ogrodowa, 99, house, between 1900-1950, 186, GoldenGate Builders, 7, 2, 173
85060, Kwiatowa, 57, twin, between 1900-1950, 42, SilverStone Constructions, 3, 1, 25
85061, Spacerowa, 73, apartment, between 2021-2024, 69, GreenField Group, 10, 10, 68
85062, Mickiewicza, 70, twin, between 1981-2000, 132, GreenField Group, 1, 1, 26
85063, Chopina, 34, twin, between 2001-2010, 37, GoldenGate Builders, 2, 1, 90
85064, Piastowska, 35, twin, between 2021-2024, 78, GreenField Group, 2, 1, 277
85065, Mickiewicza, 48, house, between 2011-2020, 81, GreenField Group, 9, 2, 171
85066, Parkowa, 95, flat, between 1981-2000, 50, GoldenGate Builders, 6, 1, 48
85067, Chopina, 64, flat, between 1900-1950, 30, GreenField Group, 4, 3, 272
85068, Chopina, 45, twin, between 2001-2010, 2, GreenField Group, 1, 1, 91
85069, Topolowa, 51, house, between 1981-2000, 48, GreenField Group, 3, 2, 221
85070, Piastowska, 97, house, between 2001-2010, 3, SilverStone Constructions, 6, 1, 67
85071, Wiosenna, 73, twin, between 2011-2020, 26, SilverStone Constructions, 2, 2, 161
85072, Krotka, 80, apartment, between 2011-2020, 64, GoldenGate Builders, 4, 4, 36
85073, Krotka, 66, apartment, between 1951-1980, 152, SilverStone Constructions, 5, 4, 258
85074, Kwiatowa, 52, house, between 2021-2024, 3, GreenField Group, 6, 3, 221
85075, Krucza, 46, house, between 1951-1980, 126, SilverStone Constructions, 7, 2, 223
85076, Wiosenna, 77, apartment, between 1951-1980, 29, BlueSky Developers, 8, 1, 203
85077, Krucza, 39, flat, between 2001-2010, 100, GreenField Group, 5, 2, 183
85078, Sportowa, 45, apartment, between 2021-2024, 196, SilverStone Constructions, 1, 1, 103
85079, Wiosenna, 98, house, between 1981-2000, 78, BlueSky Developers, 2, 1, 42
85080, Polna, 71, twin, between 1981-2000, 164, BlueSky Developers, 2, 1, 18
85081, Krotka, 28, flat, between 2021-2024, 168, BlueSky Developers, 7, 3, 52
85082, Ogrodowa, 60, house, between 1981-2000, 5, GoldenGate Builders, 5, 2, 66
85083, Slowackiego, 51, apartment, between 2021-2024, 11, GoldenGate Builders, 6, 4, 51
85084, Wiosenna, 58, twin, between 1951-1980, 102, SilverStone Constructions, 1, 1, 201
85085, Kwiatowa, 32, flat, between 1951-1980, 97, BlueSky Developers, 1, 1, 214
85086, Piastowska, 87, apartment, between 2021-2024, 131, BlueSky Developers, 9, 6, 95
85087, Spacerowa, 91, twin, between 2001-2010, 166, SilverStone Constructions, 2, 1, 206
85088, Spacerowa, 89, house, between 2021-2024, 174, GoldenGate Builders, 5, 1, 180
85089, Ogrodowa, 74, flat, between 2001-2010, 148, GoldenGate Builders, 2, 1, 84
85090, Brzozowa, 80, apartment, between 2001-2010, 111, GoldenGate Builders, 4, 4, 20
85091, Piekna, 79, house, between 1900-1950, 184, BlueSky Developers, 7, 2, 29
85092, Kwiatowa, 85, apartment, between 1951-1980, 80, GreenField Group, 2, 1, 221
85093, Ogrodowa, 85, flat, between 1900-1950, 93, GreenField Group, 9, 2, 226
85094, Koscielna, 74, house, between 1900-1950, 78, SilverStone Constructions, 5, 2, 88
85095, Ogrodowa, 20, twin, between 1951-1980, 187, GreenField Group, 3, 3, 118
85096, Konopna, 83, apartment, between 2011-2020, 195, SilverStone Constructions, 10, 2, 158
85097, Piastowska, 80, twin, between 2001-2010, 51, GoldenGate Builders, 1, 1, 92
85098, Mickiewicza, 34, twin, between 2001-2010, 139, BlueSky Developers, 2, 1, 279
85099, Mickiewicza, 55, apartment, between 1951-1980, 30, BlueSky Developers, 6, 6, 182
85100, Mickiewicza, 24, twin, between 2011-2020, 198, BlueSky Developers, 3, 2, 156
85101, Mickiewicza, 58, house, between 2021-2024, 59, GoldenGate Builders, 9, 6, 255
85102, Kwiatowa, 75, house, between 1951-1980, 108, GreenField Group, 7, 5, 282
85103, Lesna, 45, house, between 2011-2020, 122, GoldenGate Builders, 5, 4, 101
85104, Mickiewicza, 55, twin, between 1951-1980, 94, BlueSky Developers, 1, 1, 88
85105, Mickiewicza, 43, apartment, between 2001-2010, 77, SilverStone Constructions, 2, 2, 31
85106, Kwiatowa, 94, house, between 1951-1980, 14, BlueSky Developers, 4, 3, 233
85107, Cicha, 71, house, between 1900-1950, 127, BlueSky Developers, 4, 1, 118
85108, Lesna, 80, house, between 2001-2010, 67, BlueSky Developers, 6, 5, 86
85109, Spacerowa, 24, flat, between 1981-2000, 177, GoldenGate Builders, 9, 4, 106
85110, Kwiatowa, 74, apartment, between 1981-2000, 148, BlueSky Developers, 9, 3, 50
85111, Mickiewicza, 29, flat, between 2011-2020, 19, SilverStone Constructions, 6, 2, 207
85112, Piekna, 79, apartment, between 1981-2000, 94, GreenField Group, 4, 3, 219
85113, Zielona, 43, house, between 2001-2010, 148, BlueSky Developers, 6, 1, 190
85114, Sienkiewicza, 75, apartment, between 1951-1980, 139, SilverStone Constructions, 8, 1, 42
85115, Slowackiego, 92, flat, between 1981-2000, 94, GreenField Group, 6, 2, 22
85116, Sloneczna, 92, house, between 1951-1980, 8, BlueSky Developers, 1, 1, 269
85117, Mickiewicza, 36, twin, between 1900-1950, 76, GreenField Group, 1, 1, 49
85118, Parkowa, 31, twin, between 1981-2000, 35, GoldenGate Builders, 1, 1, 50
85119, 3 Maja, 81, apartment, between 2021-2024, 74, BlueSky Developers, 1, 1, 156
85120, Konopna, 55, house, between 1981-2000, 4, BlueSky Developers, 4, 2, 221
85121, Koscielna, 33, flat, between 1900-1950, 28, BlueSky Developers, 7, 7, 17
85122, Piekna, 73, flat, between 2021-2024, 143, GoldenGate Builders, 2, 1, 77
85123, Mickiewicza, 32, apartment, between 2001-2010, 33, GreenField Group, 5, 1, 175
85124, lakowa, 54, house, between 1981-2000, 69, GoldenGate Builders, 7, 1, 145
85125, Wiosenna, 89, flat, between 2001-2010, 111, GreenField Group, 6, 4, 16
85126, Spacerowa, 39, house, between 2001-2010, 138, GreenField Group, 1, 1, 65
85127, Wiosenna, 37, flat, between 2021-2024, 122, BlueSky Developers, 3, 2, 212
85128, Ogrodowa, 50, twin, between 1951-1980, 147, GoldenGate Builders, 1, 1, 172
85129, Rzeczna, 84, house, between 2011-2020, 119, GoldenGate Builders, 8, 5, 80
85130, Kwiatowa, 79, house, between 1900-1950, 162, GreenField Group, 5, 2, 153
85131, Polna, 39, apartment, between 1981-2000, 54, SilverStone Constructions, 7, 3, 3
85132, Mickiewicza, 75, apartment, between 2001-2010, 66, BlueSky Developers, 9, 7, 196
85133, Sloneczna, 41, twin, between 2021-2024, 29, GoldenGate Builders, 1, 1, 29
85134, Piastowska, 77, twin, between 1951-1980, 36, SilverStone Constructions, 3, 2, 148
85135, Kolobrzeska, 96, twin, between 2021-2024, 26, SilverStone Constructions, 3, 2, 97
85136, Kwiatowa, 33, apartment, between 2011-2020, 66, GreenField Group, 6, 6, 73
85137, Akacjowa, 86, flat, between 1951-1980, 1, BlueSky Developers, 7, 1, 6
85138, Parkowa, 71, apartment, between 2021-2024, 172, SilverStone Constructions, 7, 7, 118
85139, Lesna, 20, twin, between 2011-2020, 122, GreenField Group, 3, 2, 168
85140, Spacerowa, 74, flat, between 2021-2024, 9, BlueSky Developers, 3, 1, 48
85141, Mickiewicza, 68, house, between 2011-2020, 158, BlueSky Developers, 5, 1, 168
85142, Kwiatowa, 58, flat, between 2021-2024, 96, BlueSky Developers, 7, 2, 273
85143, Wiosenna, 37, house, between 2001-2010, 190, GoldenGate Builders, 4, 4, 201
85144, Krotka, 66, twin, between 2011-2020, 1, GoldenGate Builders, 3, 2, 31
85145, Mickiewicza, 69, apartment, between 2001-2010, 155, GoldenGate Builders, 10, 10, 227
85146, Spacerowa, 30, apartment, between 2011-2020, 111, BlueSky Developers, 9, 2, 223
85147, Sloneczna, 69, twin, between 1981-2000, 164, SilverStone Constructions, 3, 1, 41
85148, Sloneczna, 69, house, between 2021-2024, 1, GoldenGate Builders, 6, 2, 166
85149, Sosnowa, 55, house, between 1951-1980, 93, SilverStone Constructions, 8, 3, 240
85150, Wspolna, 75, apartment, between 1951-1980, 177, GreenField Group, 5, 3, 27
85151, Krucza, 78, flat, between 2001-2010, 113, GreenField Group, 9, 4, 9
85152, Kwiatowa, 93, house, between 1981-2000, 61, BlueSky Developers, 5, 1, 117
85153, Reymonta, 24, house, between 1900-1950, 169, SilverStone Constructions, 3, 3, 175
85154, Brzozowa, 53, flat, between 1951-1980, 32, GoldenGate Builders, 4, 1, 240
85155, Topolowa, 54, house, between 2011-2020, 100, BlueSky Developers, 7, 6, 69
85156, Aleja Lipowa, 58, flat, between 1981-2000, 174, BlueSky Developers, 4, 4, 128
85157, Mickiewicza, 47, house, between 1900-1950, 197, BlueSky Developers, 8, 5, 190
85158, Wiosenna, 38, flat, between 2001-2010, 46, GreenField Group, 2, 1, 30
85159, Lesna, 80, apartment, between 1951-1980, 38, GoldenGate Builders, 10, 6, 28
85160, Piekna, 94, flat, between 1951-1980, 105, BlueSky Developers, 6, 1, 196
85161, 3 Maja, 56, twin, between 1900-1950, 25, BlueSky Developers, 2, 1, 121
85162, 3 Maja, 70, flat, between 2011-2020, 47, GreenField Group, 2, 2, 75
85163, Rzeczna, 62, twin, between 2001-2010, 31, GreenField Group, 2, 1, 249
85164, Sosnowa, 75, twin, between 1981-2000, 184, GoldenGate Builders, 2, 2, 288
85165, Sloneczna, 47, apartment, between 1981-2000, 77, SilverStone Constructions, 9, 6, 272
85166, Ogrodowa, 26, apartment, between 1981-2000, 198, SilverStone Constructions, 8, 5, 49
85167, Krotka, 57, flat, between 1981-2000, 130, GoldenGate Builders, 5, 1, 10
85168, Mickiewicza, 68, flat, between 2001-2010, 103, SilverStone Constructions, 3, 3, 168
85169, Piekna, 94, house, between 1900-1950, 115, GreenField Group, 8, 5, 221
85170, Kwiatowa, 85, flat, between 2021-2024, 83, BlueSky Developers, 7, 1, 183
85171, 3 Maja, 22, apartment, between 2021-2024, 145, BlueSky Developers, 4, 3, 231
85172, Kwiatowa, 67, flat, between 2021-2024, 186, GoldenGate Builders, 9, 5, 257
85173, Polna, 40, house, between 2001-2010, 164, GreenField Group, 10, 7, 34
85174, Reymonta, 59, flat, between 1951-1980, 182, GreenField Group, 5, 4, 44
85175, Topolowa, 29, twin, between 2011-2020, 18, BlueSky Developers, 2, 1, 123
85176, Piekna, 95, flat, between 1981-2000, 3, BlueSky Developers, 7, 6, 229
85177, Krucza, 24, house, between 1981-2000, 93, SilverStone Constructions, 5, 2, 288
85178, Mickiewicza, 91, apartment, between 1981-2000, 171, GoldenGate Builders, 5, 2, 65
85179, Mickiewicza, 37, flat, between 2001-2010, 136, SilverStone Constructions, 5, 5, 218
85180, Lesna, 59, twin, between 1951-1980, 81, GreenField Group, 3, 1, 186
85181, Piastowska, 32, house, between 1900-1950, 164, SilverStone Constructions, 9, 6, 167
85182, Wiosenna, 51, flat, between 1981-2000, 73, SilverStone Constructions, 5, 1, 234
85183, Kwiatowa, 33, twin, between 2001-2010, 154, BlueSky Developers, 1, 1, 156
85184, Konopna, 31, flat, between 2001-2010, 43, GoldenGate Builders, 7, 3, 251
85185, Rzeczna, 97, apartment, between 1981-2000, 53, SilverStone Constructions, 4, 1, 126
85186, Spacerowa, 39, flat, between 2001-2010, 54, GreenField Group, 9, 7, 46
85187, Sloneczna, 53, twin, between 2001-2010, 62, BlueSky Developers, 2, 2, 172
85188, Piastowska, 93, twin, between 2011-2020, 137, SilverStone Constructions, 2, 2, 272
85189, Rzeczna, 54, twin, between 1951-1980, 77, BlueSky Developers, 1, 1, 204
85190, Wiosenna, 57, house, between 2021-2024, 106, GreenField Group, 6, 1, 161
85191, Krotka, 65, flat, between 2001-2010, 181, BlueSky Developers, 4, 3, 35
85192, Topolowa, 35, flat, between 2001-2010, 97, GoldenGate Builders, 4, 3, 239
85193, Mickiewicza, 41, house, between 1981-2000, 89, BlueSky Developers, 10, 8, 286
85194, Sienkiewicza, 40, flat, between 1951-1980, 33, GoldenGate Builders, 4, 1, 166
85195, Ogrodowa, 92, flat, between 1900-1950, 184, GoldenGate Builders, 3, 1, 54
85196, Sosnowa, 32, house, between 1900-1950, 134, BlueSky Developers, 8, 3, 12
85197, Koscielna, 97, house, between 2001-2010, 86, BlueSky Developers, 6, 1, 148
85198, Piekna, 92, apartment, between 2021-2024, 101, BlueSky Developers, 5, 2, 112
85199, Brzozowa, 47, apartment, between 2001-2010, 194, GoldenGate Builders, 5, 5, 265
85200, Koscielna, 27, twin, between 1981-2000, 155, GreenField Group, 3, 1, 153
85201, Wspolna, 62, twin, between 2011-2020, 176, GoldenGate Builders, 2, 1, 179
85202, Kwiatowa, 44, flat, between 2021-2024, 51, SilverStone Constructions, 1, 1, 227
85203, Mickiewicza, 27, twin, between 1951-1980, 81, SilverStone Constructions, 2, 2, 254
85204, Mickiewicza, 68, house, between 1981-2000, 110, GoldenGate Builders, 3, 2, 135
85205, Rzeczna, 46, house, between 2011-2020, 14, SilverStone Constructions, 1, 1, 172
85206, Sportowa, 57, house, between 2011-2020, 89, SilverStone Constructions, 4, 1, 73
85207, Piekna, 66, apartment, between 2001-2010, 4, GoldenGate Builders, 8, 6, 85
85208, Krotka, 46, house, between 1951-1980, 4, SilverStone Constructions, 6, 3, 247
85209, Zielona, 68, house, between 1981-2000, 66, GreenField Group, 9, 8, 234
85210, Plac Wolnosci, 43, flat, between 1951-1980, 33, GoldenGate Builders, 7, 2, 147
85211, Mickiewicza, 59, twin, between 1900-1950, 139, GreenField Group, 3, 3, 169
85212, Mickiewicza, 94, flat, between 2011-2020, 197, SilverStone Constructions, 1, 1, 62
85213, Sportowa, 66, apartment, between 2011-2020, 25, BlueSky Developers, 7, 3, 64
85214, Rzeczna, 87, house, between 1900-1950, 94, BlueSky Developers, 1, 1, 188
85215, Kwiatowa, 81, apartment, between 1981-2000, 139, GreenField Group, 2, 2, 6
85216, Lesna, 24, house, between 2011-2020, 181, GoldenGate Builders, 6, 5, 183
85217, Piastowska, 26, twin, between 2001-2010, 186, SilverStone Constructions, 3, 1, 250
85218, Sienkiewicza, 27, twin, between 1981-2000, 59, SilverStone Constructions, 1, 1, 31
85219, Slowackiego, 35, twin, between 1951-1980, 114, GreenField Group, 3, 3, 35
85220, Zielona, 70, apartment, between 2001-2010, 142, BlueSky Developers, 1, 1, 171
85221, Konopna, 20, house, between 1981-2000, 46, GreenField Group, 8, 1, 85
85222, Mickiewicza, 31, house, between 2001-2010, 79, GreenField Group, 5, 1, 120
85223, Piekna, 29, flat, between 1900-1950, 32, SilverStone Constructions, 3, 1, 230
85224, Konopna, 53, flat, between 2021-2024, 110, GoldenGate Builders, 7, 6, 127
85225, Zielona, 27, twin, between 2021-2024, 195, BlueSky Developers, 2, 2, 22
85226, Cicha, 87, house, between 2021-2024, 124, GoldenGate Builders, 6, 6, 191
85227, Mickiewicza, 77, flat, between 2001-2010, 113, GoldenGate Builders, 5, 4, 289
85228, Wiosenna, 31, apartment, between 2001-2010, 61, BlueSky Developers, 3, 2, 82
85229, Piekna, 68, house, between 1900-1950, 187, SilverStone Constructions, 8, 2, 59
85230, Kwiatowa, 43, flat, between 1951-1980, 177, GoldenGate Builders, 10, 2, 276
85231, Piastowska, 28, apartment, between 2021-2024, 114, BlueSky Developers, 6, 1, 127
85232, Sosnowa, 78, house, between 2011-2020, 98, SilverStone Constructions, 9, 9, 58
85233, Wiosenna, 80, flat, between 2001-2010, 157, BlueSky Developers, 3, 1, 252
85234, Mickiewicza, 87, house, between 1981-2000, 131, GreenField Group, 7, 6, 265
85235, Mickiewicza, 78, house, between 1951-1980, 82, GreenField Group, 8, 5, 180
85236, Piekna, 78, twin, between 1900-1950, 96, GreenField Group, 3, 1, 110
85237, Reymonta, 33, twin, between 1951-1980, 66, BlueSky Developers, 2, 2, 8
85238, Piekna, 74, apartment, between 2021-2024, 90, GreenField Group, 4, 1, 164
85239, Kwiatowa, 30, flat, between 1951-1980, 24, GreenField Group, 1, 1, 44
85240, Cicha, 96, apartment, between 1951-1980, 161, GoldenGate Builders, 6, 2, 281
85241, Kwiatowa, 68, flat, between 2021-2024, 137, BlueSky Developers, 8, 8, 120
85242, Mickiewicza, 24, flat, between 1981-2000, 86, SilverStone Constructions, 3, 2, 224
85243, Mickiewicza, 60, house, between 1900-1950, 94, SilverStone Constructions, 9, 6, 157
85244, Spacerowa, 26, apartment, between 1900-1950, 64, BlueSky Developers, 5, 5, 136
85245, Kwiatowa, 87, twin, between 1900-1950, 84, GoldenGate Builders, 2, 2, 40
85246, Topolowa, 79, apartment, between 1951-1980, 150, SilverStone Constructions, 8, 2, 77
85247, Lesna, 37, apartment, between 2021-2024, 114, SilverStone Constructions, 8, 2, 8
85248, Ogrodowa, 79, twin, between 1981-2000, 175, GreenField Group, 2, 1, 292
85249, Mickiewicza, 98, house, between 2021-2024, 139, GreenField Group, 5, 2, 293
85250, Mickiewicza, 88, flat, between 1951-1980, 168, GoldenGate Builders, 3, 1, 258
85251, Brzozowa, 25, house, between 2001-2010, 174, GoldenGate Builders, 4, 2, 76
85252, Kwiatowa, 45, flat, between 2011-2020, 13, SilverStone Constructions, 3, 2, 189
